ID,Artigo,Sentencas,Titulo,DOI
1,12968,"In this study, NiO-Ce0.8Sm0.2O1.9 (SDC) nanocomposite powders with NiO content of 40-60 mass% were successfully synthesized by hydroxide co-precipitation method.",Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
2,12968,"The effect of NiO content on crystal phase, crystallite size, average particle size and particle size distribution of the NiO SDC nanocomposite powders was investigated.",Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
3,12968,The average particle size of the NiO SDC nanocomposite powders increased and the particle size distribution became wider with an increase in the NiO content.,Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
4,12968,Anode-supported solid oxide fuel cells (SOFCs) were fabricated from the NiO SDC nanocomposite powders with different NiO content and electrochemical performance was tested at 500-650 degrees C using humidified hydrogen as fuel.,Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
5,12968,Results showed that the NiO SDC nanocomposite powders were suitable to be applied as anode materials for low-temperature SOFCs.,Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
6,12968,The anode-supported SOFC fabricated from the NiO SDC nanocomposite powders with 50 mass%,Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
7,12968,NiO demonstrated the highest electrical performance among the anode-supported SOFCs fabricated from the NiO SDC nanocomposite powders with the NiO content of 40-60 mass%.,Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
8,12968,"Copyright (C) 2011, Hydrogen Energy Publications, LLC.",Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
9,12968,Published by Elsevier Ltd.,Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
10,12968,All rights reserved.,Synthesis and evaluation of NiO-Ce0.8Sm0.2O1.9 nanocomposite powders for low-temperature solid oxide fuel cells,10.1016/j.ijhydene.2011.02.073
