ID,Artigo,Sentencas,Titulo,DOI
1,9412,Porous palygorskite (Pal) was mixed with Ho0.9Sr0.1Cr0.5Fe0.5O3.delta (HSCF) perovskite to prepare a novel cathode material for SOFC due to large specific surface area and nano-scaled internal channels.,Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
2,9412,Calcination of HSCF was preceded under 1000 degrees C by Thermogravimetry and differential scanning calorimetry techniques (TG-DSC) and X-ray diffraction (XRD) analysis.,Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
3,9412,Field emission scanning electron microscopy (FESEM) and IR manifested that Pal was mixed homogeneously with HSCF.,Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
4,9412,Brunauer-Emmett-Teller (BET) analysis proved that surface areas of cathode increased from 0.18 m(2) g(-1) to 4.23 m(2) g(-1) after mixing with palygorskite.,Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
5,9412,"In addition, the performances of the single cell (NiO GDC vertical bar GDC vertical bar HSCF GDC and NiO-GDC vertical bar GDC vertical bar HSCF-Pal-GDC) were also measured at 450-550 degrees C when the 99% H-2 and ambient air were fuels of anode and cathode, respectively.",Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
6,9412,"Corresponding the maximum power density were 14.32 mW.cm(-2) and 28.43 mW.cm(-2) at 500 degrees C. When the single cell operating temperature was raised to 550 degrees C, the performance of single cell NiO-GDC vertical bar GDC vertical bar HSCF-GDC continues to enhance, while another ome decreased sharply.",Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
7,9412,"BET values of the cathode with mixing Pal after cell test declined from 4.23 m(2) g(-1) to 0.11 m(2) g(-1), which indicated the collapsing of the pores in Pal at the cell operating temperature and impeded the performance of the cell.",Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
8,9412,The operating temperature of the single cell after mixing Pal in electrode couldn't exceed 500 degrees C.,Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
9,9412,The electrochemical impedance spectra (EIS) was also used to analysis the factors influencing cell performance.,Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
10,9412,"Therefore, HSCF-Pal as a promising cathode can be used as low temperature solid oxide fuel cell.",Palygorskite mixed with Ho-based perovskite as a promising cathode material for solid oxide fuel cell,10.1016/j.clay.2018.09.018
