ID,Artigo,Sentencas,Titulo,DOI
1,347,"Recently, Unmanned Aerial Vehicles (UAVs) with propulsion systems based on fuel cells have led to increased flight endurance and fuel economy.",Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
2,347,"However, due to the limited operation of propulsion systems designed with alone fuel cells, the integration of fuel cells with other power generators can be used.",Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
3,347,This article attempts to provide a conceptual model of a new solid oxide fuel cell based-propulsion system that is cascaded with thermionic and thermoelectric generators.,Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
4,347,The fuel cell produces power and heat by receiving hydrogen fuel and oxidant.,Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
5,347,"The required heat of thermionic and thermoelectric generators is supplied by the dissipative heat of the fuel cell and the dissipated heat of thermionic, respectively.",Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
6,347,The objective of this article is to determine the necessary electricity of a small UAV under mission profile.,Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
7,347,The conceptual design and structure of the proposed propulsion system (for use in a small drone) is new.,Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
8,347,"In addition, the results presented do not correspond to the same literature.",Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
9,347,Results showed that the proposed propulsion system is capable of producing 481.3 W of power with an overall efficiency of 46.7%.,Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
10,347,"In addition, UAV needs 1110.3 W of electricity under the desired mission profile.",Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
11,347,Five various sizing of the propulsion system to provide the necessary electricity of an UAV are discussed.(c) 2022 Hydrogen Energy Publications LLC.,Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
12,347,Published by Elsevier Ltd.,Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
13,347,All rights reserved.,Introducing and evaluation of a new propulsion system composed of solid oxide fuel cell and downstream cycles; usage in Unmanned Aerial Vehicles,10.1016/j.ijhydene.2022.02.104
