ID,Artigo,Sentencas,Titulo,DOI
1,19397,This article compares chromium evaporation characteristics of chromia- and alumina-forming alloys at high temperatures [1123 K and 1223 K (800 degrees C to 950 degrees C)] in humid air (3 and 12 pct H2O) and presents a mechanistic understanding of variation in chromium evaporation on the basis of their oxide scale morphologies.,Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
2,19397,"For this study, an alloy from each of the distinct chromia-forming, alumina-forming, and chromia-alumina transition characteristics was selected (i.e., an alumina-forming alloy (Aluchrom YHf), a chromia-forming alloy (AISI 310S-austentic stainless steel), and an alloy that undergoes transition from chromia to alumina formation (Nicrofer6025 HT)).",Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
3,19397,"For generating baseline chromium evaporation data, pure chromium oxide was also tested.",Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
4,19397,The chromium evaporation rate decreased in the order pure chromium oxide >,Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
5,19397,AISI 310S > Nicrofer6025,Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
6,19397,HT >,Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
7,19397,Aluchrom YHf.,Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
8,19397,"Surface morphologies, cross sections, and chemical characteristics of oxide scales were examined by scanning electron microscopy and energy dispersive X-ray spectroscopy and focused ion beam.",Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
9,19397,The variation in chromium evaporation of different alloys is explained on the basis of physical and chemical characteristics of the oxide scales.,Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
10,19397,"DOI: 10.1007/s11661-012-1492-y (C) The Minerals, Metals & Materials Society and ASM International 2012",Oxide Scale Morphology and Chromium Evaporation Characteristics of Alloys for Balance of Plant Applications in Solid Oxide Fuel Cells,10.1007/s11661-012-1492-y
