ID,Artigo,Sentencas,Titulo,DOI
1,21006,"The crystalline structure, ionic conductivity, and local structure of ZrO2-Gd(2)O(3)solid solution crystals have been studied for a wide range of compositions.","Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
2,21006,The (ZrO2)(1-)(Gd2O3) crystals (x = 0.03-0.33) have been grown by directional melt crystallization in cold crucible.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
3,21006,The phase composition of the crystals has been studied using X-ray diffraction and transmission electron microscopy.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
4,21006,The transport parameters have been studied using impedance spectroscopy in the 400-900 degrees C range.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
5,21006,The local structure of the crystals has been studied by optical spectroscopy with Eu3+ ion probe.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
6,21006,The maximum conductivity at 900 degrees C (0.047 S/cm) has been observed in the crystals containing 10 mol% Gd2O3.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
7,21006,This composition is close to the cubic/tetragonal phase boundary.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
8,21006,The compositions corresponding to the single-phase cubic region exhibit a decrease in the ionic conductivities with an increase in the Gd2O3 concentration.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
9,21006,Studies of the local structure of the ZrO2-Gd2O3 system solid solutions have revealed specific features of the formation of optical centers which characterize the localization of oxygen vacancies in the lattice depending on the concentration of the stabilizing oxide.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
10,21006,Comparison of the experimental values of the lattice parameter with those calculated using various models has shown that the best fit between these data is provided by the model of inequiprobable distribution of oxygen vacancies.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
11,21006,We have discussed the correlation between the crystalline and local structures and the transport parameters of the crystals.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
12,21006,Analysis of the results allows us to identify the Gd2O3 concentration ranges in which the ionic conductivity of the crystals is mainly determined either by the phase composition or by the regularity of oxygen vacancy localization in the crystal lattice.,"Ionic conductivity, phase composition, and local defect structure of ZrO2-Gd2O3system solid solution crystals",10.1007/s10008-019-04357-8
