ID,Artigo,Sentencas,Titulo,DOI
1,18943,"A micro kinetic model of the Pt, O(2)(g) was developed in state space form (model M3).","Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
2,18943,The oxygen adsorption/desorption process was modeled as a precursor-mediated surface reaction.,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
3,18943,The surface diffusion of atomic oxygen and the electrochemical reduction of atomic oxygen near the three-phase boundary (tpb) were considered.,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
4,18943,It was shown that the simulated charge-transfer behavior of M3 is significantly different from models with ordinary Langmuir kinetics (model M2).,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
5,18943,The electrochemical rate constant was estimated from selected experimental data as k(10) =,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
6,18943,(6.05+/-0.25).10(6) m(3) /(mol.s).,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
7,18943,From experimental results it was concluded that only one adsorbed oxygen species is relevant for the dynamic behavior.,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
8,18943,In porous Pt electrodes binary gas phase diffusion of oxygen in O(2)/N(2) gas mixtures becomes relevant at oxygen partial pressures below similar to 10(-3) atm.,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
9,18943,The general procedure for state and parameter estimation can be well adopted for the investigation of further reaction mechanisms.,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
10,18943,(C) 1999,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
11,18943,Elsevier Science B.V.,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
12,18943,All rights reserved.,"Reaction kinetics of the Pt, O2(g)|c-ZrO2 system:: precursor-mediated adsorption",10.1016/S0167-2738(98)00472-X
