ID,Artigo,Sentencas,Titulo,DOI
1,15820,Nucleation and growth of lanthanum zirconate (LZO) between (001) single crystals of 9.5 mol% Y2O3-stabilized ZrO2 (YSZ) and porous La0.85Sr0.15MnyO3=delta (y = 0.95... .10) perovskites were investigated.,"La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
2,15820,The perovskites were screen-printed on the solid electrolyte and sintered in air at 1373 K for short periods.,"La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
3,15820,"High resolution transmission electron microscopy, electrochemical impedance spectroscopy, and atomic force microscopy were employed for interface characterization.","La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
4,15820,The manganese concentration in the perovskite affects the onset of nucleation and the growth rate of lanthanum zirconate.,"La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
5,15820,Excess lanthanum oxide within the perovskite reacts immediately with YSZ to form dense LZO layers.,"La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
6,15820,Layer growth kinetics is controlled by bulk diffusion of cations.,"La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
7,15820,"Stoichiometric perovskite leads to the reductive formation of cubic LZO islands at the cathode/electrolyte interface after a few minutes of sintering, The A-site deficient perovskite is characterized by the reductive dissolution of Mn into YSZ in the early sintering stage and by a pronounced surface diffusion of cations.","La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
8,15820,"After the critical Mn concentration in the perovskite is reached, reductive nucleation of LZO originates.","La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
9,15820,Island growth is controlled by surface diffusion of cations and the supply of lanthanum.,"La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
10,15820,The electrochemical properties of the cathode/YSZ interfaces are strongly influenced by the formation of LZO at the triple phase boundary.,"La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
11,15820,"Charge transfer, dissociation of adsorbed molecular oxygen ions, and surface diffusion of atomic oxygen are discriminated from electrochemical impedance data.","La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
12,15820,(C) 1998 Elsevier Science B.V.,"La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
13,15820,All rights reserved.,"La2Zr2O7 formation and oxygen reduction kinetics of the La0.85Sr0.15MnyO3, O2(g)|YSZ system",10.1016/S0167-2738(98)00195-7
