ID,Artigo,Sentencas,Titulo,DOI
1,14573,This study aims to exploit the effects of little impurity ions on the properties and performance of Ba0.5Sr0.5Co0.8Fe0.2O3-delta (BSCF) towards the development of membranes for oxygen separation and electrodes for oxygen reduction.,The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
2,14573,"The influences of impurity ions (Na+, K+, Mg2+, Ca2+, Crx+, Mnx+, Si4+ and Cl-) on the crystal structure, electrical conductivity, oxygen desorption/permeation behavior, sintering behavior and oxygen reduction activity of BSCF were systematically investigated.",The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
3,14573,"Rietveld refinements of the powder X-ray diffraction patterns revealed that most of the impurity ions, except Mg2+ and Si4+, can incorporate into the BSCF lattice without changing the lattice symmetry or forming new phases.",The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
4,14573,"The membrane containing the Mg2+ impurity exhibited a reduced grain size, whereas the membrane containing the Cl- impurity exhibits poor sintering ability.",The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
5,14573,The fluctuation in the oxygen permeation flux of the BSCF membranes could be correlated to their different sintering abilities and to the site doped with the impurity ions.,The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
6,14573,The impedance spectra of symmetrical cells with BSCF electrodes containing various impurity ions showed that the small impurity ions did not strongly affect the electrode performance.,The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
7,14573,"These results suggested that low purity raw materials could be used to prepare BSCF materials, thus improving their economic attractiveness.",The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
8,14573,(C) 2013,The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
9,14573,Elsevier B.V..,The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
10,14573,All rights reserved.,The influence of impurity ions on the permeation and oxygen reduction properties of Ba0.5Sr0.5Co0.8Fe0.2O3-δ perovs kite,10.1016/j.memsci.2013.08.021
