ID,Artigo,Sentencas,Titulo,DOI
1,14970,"In state-of-the-art high temperature solid oxide fuel cells (SOFCs), a porous composite of nickel and yttria stabilized zirconia (Ni/YSZ) is employed as the anode.",Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
2,14970,"The rapid oxidation of Ni into NiO is regarded as the main cause of the so-called reduction-oxidation (redox) instability in Ni/YSZ anodes, due to the presence of extensive bulk volume changes associated with this reaction.",Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
3,14970,"As a consequence, the development of internal stresses can lead to performance degradation and/or structural failure.",Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
4,14970,"In this study, we employ a recently developed continuum formalism to quantify the mechanical deformation behavior and evolution of internal stresses in Ni/YSZ porous anodes due to re-oxidation.",Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
5,14970,"In our approach, a local failure criterion is coupled to the continuum framework in order to account for the heterogeneous damage accumulation in the YSZ phase.",Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
6,14970,The hallmark of our approach is the ability to track the spatial evolution of mechanical damage and capture the interaction of YSZ damaged regions with the local microstructure.,Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
7,14970,Simulation results highlight the importance of the microstructure characterized by Ni to YSZ particle size ratio on the redox behavior and damage accumulation in as-synthesized SOFC anode systems.,Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
8,14970,"Moreover, a redox-strain-to-failure criterion is developed to quantify the degree by which coarsened anode microstructures become more susceptible to mechanical damage during re-oxidation.",Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
9,14970,(c) 2013,Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
10,14970,AIP Publishing LLC.,Microstructural coarsening effects on redox instability and mechanical damage in solid oxide fuel cell anodes,10.1063/1.4830015
