ID,Artigo,Sentencas,Titulo,DOI
1,3935,"Based on Aspen Plus, a methanol reforming Solid Oxide Fuel Cell - Humid Air Turbine - Combined cooling, heating and power (SOFC-HAT-CCHP) system based on solar methanol reforming is built in this paper, which combines (Solid Oxide Fuel Cell) SOFC with (Humid Air Turbine) HAT power generation system.",Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
2,3935,"This paper analyzes the performance of SOFC-HAT-CCHP system, and reveals the affinity of complementary utilization of solar energy and chemical energy.",Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
3,3935,This paper optimizes the integrated design of the system and constructs a steady state model of the system's thermal calculation.,Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
4,3935,"The calculation results show that the total power efficiency of the method, the system total exergy efficiency and the thermal efficiency are 57.2%, 63.0% and 87.1% respectively.",Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
5,3935,The results show that the introduction of HAT power generation system has increased the power generation and reduced the coal consumption rate.,Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
6,3935,"Compared with simple methanol reforming (Solid Oxide Fuel Cell - Gas Turbine - Combined cooling, heating and power) SOFC-GT-CCHP, the introduction of HAT effectively improves the total power generation efficiency of the system and increases 4.1% points.",Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
7,3935,The exergy efficiency of increased by 4.6% points.,Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
8,3935,"Compared to the reference system, the standard coal consumption rate of electricity generated by the new system decreased by 16.6 g/kWh and the power generation increased by 15.5 g/kWh.",Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
9,3935,(C) 2018,Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
10,3935,Hydrogen Energy Publications LLC.,Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
11,3935,Published by Elsevier Ltd.,Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
12,3935,All rights reserved.,Thermodynamic performance study of the MR SOFC-HAT-CCHP system,10.1016/j.ijhydene.2018.12.129
