ID,Artigo,Sentencas,Titulo,DOI
1,18680,This study presents a general framework for modelling heterogeneous electrode reaction mechanisms and reports about their structural properties.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
2,18680,The procedure proposed is derived from classical systems and control theory.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
3,18680,Relationships between abstract expressions and measurable electrochemical quantities are established.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
4,18680,The procedure is illustrated by means of the O(2)(g) reduction at the interface between Pt and yttria-stabilized zirconia (YSZ) solid electrolytes.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
5,18680,"Dissociative adsorption of oxygen on the Pt surface, surface diffusion of atomic oxygen, and a two-electron transfer step near the triple phase boundary are considered.","Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
6,18680,The. surface concentration of adsorbed atomic oxygen is taken as time dependent state-variable.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
7,18680,The reaction mechanism is formulated in state-space form and structural investigation of the resulting set of equations is performed on the corresponding transfer function.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
8,18680,The concept of structural identifiability is demonstrated.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
9,18680,Expressions describing the steady-state current-voltage behaviour and the frequency response behaviour are derived.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
10,18680,It is shown that all unknown parameters can be uniquely estimated from steady-state and impedance measurements.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
11,18680,(C) 1999,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
12,18680,Elsevier Science B.V.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
13,18680,All rights reserved.,"Identification of the reaction mechanism of the Pt, O2(g)|yttria-stabilized zirconia system -: Part I:: General framework, modelling, and structural investigation",10.1016/S0167-2738(98)00341-5
