ID,Artigo,Sentencas,Titulo,DOI
1,405,An analysis of tubular solid oxide fuel cell fuelled with humidified hydrogen is presented in the paper.,From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
2,405,"Numerical calculations have been performed by means of 0D and 1D levels of the electrical current density vector prediction together with 3D level of continuity, momentum, energy and species transport modeling.",From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
3,405,"It has been shown that constant current density assumption throughout the fuel cell, as in 0D model, gives some overestimation of voltage, power and temperature in comparison with 1D model.",From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
4,405,"However, obtained characteristics are similar for both cases.",From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
5,405,"Additionally, an influence of discretization segments number on the model prediction has been analyzed.",From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
6,405,The local changes of current density along the fuel cell tube are also presented.,From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
7,405,"It is shown that for increasing values of average current density throughout the cell, relevant local values of current density decrease linearly with tube length.",From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
8,405,(C) 2009,From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
9,405,Elsevier Ltd.,From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
10,405,All rights reserved.,From 0D to 1D modeling of tubular solid oxide fuel cell,10.1016/j.enconman.2009.05.007
