ID,Artigo,Sentencas,Titulo,DOI
1,3942,The objective of this study was to propose a fusion-biomass hybrid system with fuel cell and gas turbine as a technical option for fusion application to generate electricity.,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
2,3942,Fusion reactor with dual coolants lithium lead (DCLL) blanket design employing SiCj/SiC could provide over 900 degrees C of high temperature heat for waste biomass gasification process.,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
3,3942,Waste biomass such as municipal waste solid and residues from agricultural and forestry sites could be sufficiently processed.,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
4,3942,A small scale conceptual fusion reactor GNOME is designed under the assumption that the system will be deployed in a place where a low amount of waste biomass is generated.,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
5,3942,Results showed that 364 MW GNOME reactor could produce 410 MWth power through divertor and blanket according to fusion power plant system analysis code (FUSAC).,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
6,3942,The hybrid system enables to generate 454 MWe with 80% capacity factor which is 7008 h operation in a year.,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
7,3942,Net electricity of 289 MWe could be produced through solid oxide fuel cell (SOFC) and gas turbine showed 30% of overall system efficiency due to the high self-consumption of GNOME reactor.,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
8,3942,The levelized cost of electricity (LCOE) is 208 $/MWh and the energy return on investment (EROI) is 3.9.,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
9,3942,(C) 2020,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
10,3942,Elsevier Ltd.,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
11,3942,All rights reserved.,Cost analysis and energy return on investment of fuel cell and gas turbine integrated fusion-biomass hybrid system; application of a small scale conceptual fusion reactor GNOME,10.1016/j.energy.2020.117825
