ID,Artigo,Sentencas,Titulo,DOI
1,85,This paper is devoted to a survey of the current technology and future market for utility-scale fuel cell plants.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
2,85,The phosphoric acid fuel cell (PAFC) is entering into the stage where it is practically available for use with natural gas.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
3,85,"Large capacity plants such as 11, 5 and I MW have been installed and operated in Italy and Japan.",The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
4,85,Their efficiency ranges from 36 to 42%.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
5,85,"The molten carbonate fuel cell (MCFC) is in the demonstrating stage, both the fuel cell and the balance-of-plant (BOP) for natural gas.",The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
6,85,Demonstration plants of 2 and 1 MW have been under construction in the USA and Japan.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
7,85,Their efficiency will range from 40 to 50%.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
8,85,The solid oxide fuel cell (SOFC) is in the experimental stage around 100 kW for co-generation.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
9,85,Its conceptual system design has been conducted for both centralized and dispersed power plant in a cooperation with Westinghouse and NEDO.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
10,85,A market survey is now considered on the basis that future fuel cells will run for around 40 000 h in a stable manner with competitive performance.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
11,85,The market for fuel cells will be roughly at 2000 MW in Japan by the year 2010.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
12,85,Half of them will be installed for electric companies on the utility scale.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
13,85,"The market will be shared between PAFC and MCFC by 10 and 90%, respectively.",The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
14,85,Current technologies have not reached the stage to precisely forecast when fuel cells will be entering into the market on a utility scale.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
15,85,"At the present time, it is worthwhile to consider how the technological and economic requirements will be definitely achieved.",The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
16,85,"After achieving these requirements, fuel cells will be positively introduced and socially accepted as the best energy converting option to save energy and environmental impact.",The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
17,85,Further efforts will be devoted to meeting the market from the technological and economic aspects.,The market for utility-scale fuel cell plants,10.1016/S0378-7753(96)02337-3
