ID,Artigo,Sentencas,Titulo,DOI
1,3636,"La2NiO4+delta, La1.4Ca0.6Ni0.6Fe0.4O4+delta (LCNF0604), La1.4Sr0.6Ni0.6Fe0.4O4+delta (LSNF0604), La1.4Sr0.6Ni0.5Fe0.5O4+delta(LSNF0605) and La1.5Sr0.5Ni0.6Fe0.4O4+delta (LSNF0504) were synthesized by the citrate-nitrate technique with the following four annealing steps at 950 degrees C in air (La2NiO4+delta, LCNF0604, LSNF0604) or in atmosphere with the reduced (10(-5) atm) oxygen partial pressure (LSNF0605, LSNF0504).","Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
2,3636,Phase purity of the samples is confirmed by the X-ray powder diffraction (XRPD).,"Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
3,3636,"Electrochemical impedance spectroscopy studies of the symmetrical cells based on the proton-conducting La28-zW4+zO54+1.5z (z = 0.85, LWO85) electrolyte reveal that the polarization resistance (R-p) decreases in the row LCNF0604>La2NiO4+delta>","Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
4,3636,LSNF0504>LSNF0604>LSNF0605 in the temperature interval of 600-800 degrees C in wet air.,"Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
5,3636,"The process at low frequencies related to the surface exchange, provides the most significant contribution to the polarization resistance of the studied cells.","Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
6,3636,Higher polarization resistance for the La2NiO4+delta/LWO85 cell can be associated with blocking of protons/protonic species.,"Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
7,3636,The minimal Rp value of 1 Omega cm(2) at 800 degrees C in wet air is demonstrated by the LSNF0605/LWO85 symmetrical cell.,"Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
8,3636,The maximal power density for the anode-supported LSNF0605/LWO85/Ni-LWO85 single fuel cell is equal to 55 mW cm(-2) at 750 degrees C.,"Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
9,3636,The performance of the fuel cell is limited by the formation of La2O3 at the LWO85/Ni-LWO85 interface due to chemical interaction between NiO and LWO85.,"Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
10,3636,To improve the performance of the studied fuel cell the development of new proton-conducting buffer layer stable to LWO85 is required.,"Evaluation of La2-x(Ca/Sr)xNi1-yFeyO4+δ (x=0.5, 0.6; y=0.4, 0.5) as cathodes for proton-conducting SOFC based on lanthanum tungstate",10.1016/j.electacta.2022.140479
