ID,Artigo,Sentencas,Titulo,DOI
1,87,"Drones have important uses such as relief, photography, military purposes.",Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
2,87,"However, designing an efficient propulsion system for the drone that can ensure its reliability and flight endurance is a major challenge.",Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
3,87,Relying on an all-electric propulsion system can enhance flight endurance and improve drone performance.,Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
4,87,"In this article, two types of fuel cells, proton-exchange membrane fuel cell and solid oxide fuel cell have been considered (individually) to supply the power consumption of the drone.",Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
5,87,"In addition, a battery is embedded in parallel with the fuel cell in the propulsion system.",Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
6,87,"To evaluate the performance of the drone, two constraint and mission analyzes have been established to determine the power consumption of the drone during various flight modes and weight distribution of the drone.",Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
7,87,Then a comparison on the drone's performance with respect to the electrochemical behavior of both fuel cells is provided.,Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
8,87,"Finally, the performance of fuel cells in propulsion system based on the International Standard Atmosphere model is discussed.",Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
9,87,Results revealed that the solid oxide fuel cell and proton-exchange membrane fuel cell can generate 82.1 and 162.7 W of electrical power respectively.,Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
10,87,"In addition, drone needs about 1.46 kW of electrical power.",Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
11,87,"The flight endurance and total weight of the drone are equal to 6.8 h and 6.3 kg, respectively.",Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
12,87,It was also found that the required area of the solid oxide fuel cell is approximately 98% less than the proton-exchange membrane fuel cell to provide the total electricity consumption of the drone.,Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
13,87,"Furthermore, the effect of increasing cruise speed on drone's net weight is more remarkable compared to power consumption.",Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
14,87,(C) 2021,Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
15,87,The Authors.,Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
16,87,Published by Elsevier Ltd.,Evaluation of a small drone performance using fuel cell and battery; Constraint and mission analyzes,10.1016/j.egyr.2021.11.225
