ID,Artigo,Sentencas,Titulo,DOI
1,15119,"The modification of surface composition after long-term operation is one of the most reported degradation mechanisms of (La,Sr)(Co,Fe)O3-delta (LSCFO) cathodes for Solid Oxide Fuel Cells (SOFCs).",Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
2,15119,"Nevertheless, its effect on the oxygen reduction reaction kinetics of porous LSCFO cathodes has not been yet reliably established.",Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
3,15119,"In this work, La- and Sr-enrichment at the LSCFO surface of porous cathodes has been induced after 50 h aging at 800 degrees C under air.",Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
4,15119,Such cation redistribution can extend up to -400 nm depth under the LSCFO surface as detected by high resolution Scanning Transmission Electron Microscopy-Energy Dispersive Spectroscopy maps acquired inside the cathode pores.,Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
5,15119,The observed surface chemical changes hamper the oxygen surface exchange reaction at the LSCFO/gas interface.,Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
6,15119,"Accordingly, a suitable Electrochemical Impedance Spectroscopy analysis revealed that the oxygen ion conductivity remains practically unaltered during the aging treatment while the oxygen surface exchange resistance increases up to 1.8 times.",Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
7,15119,"As a result, the cathode impedance response deteriorates within the 10-0.1 Hz frequency range during the aging treatment, resulting in a total cathode area specific resistance increase of 150%.",Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
8,15119,The methodology adopted has demonstrated to be very valuable for studying the degradation of SOFC cathodes produced by the modification of surface composition.,Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
9,15119,(C) 2016,Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
10,15119,Elsevier B.V. All rights reserved.,Degradation of oxygen reduction reaction kinetics in porous La0.6Sr0.4Co0.2Fe0.8O3-δ cathodes due to aging-induced changes in surface chemistry,10.1016/j.jpowsour.2016.10.090
